Hour,Segment,Average,Median,StdDev
0,All,0.0,0.0,0.0
1,All,0.0,0.0,0.0
2,All,0.0,0.0,0.0
3,All,0.0,0.0,0.0
4,All,0.0,0.0,0.0
5,All,0.0,0.0,0.0
6,All,0.05555555555555555,0.0,0.2290614236454256
7,All,0.16666666666666666,0.0,0.37267799624996495
8,All,2.1666666666666665,2.0,1.4240006242195884
9,All,3.0,2.5,2.0816659994661326
10,All,2.9444444444444446,3.0,1.870003631078537
11,All,3.2777777777777777,3.0,2.2804861946415325
12,All,0.9444444444444444,1.0,0.7797593804232333
13,All,0.1111111111111111,0.0,0.3142696805273545
14,All,1.3888888888888888,1.0,1.5325682471259692
15,All,1.7777777777777777,1.0,1.9309052441091963
16,All,1.6666666666666667,1.0,1.8257418583505538
17,All,0.6666666666666666,0.0,0.816496580927726
18,All,0.16666666666666666,0.0,0.372677996249965
19,All,0.05555555555555555,0.0,0.2290614236454256
20,All,0.0,0.0,0.0
21,All,0.05555555555555555,0.0,0.2290614236454256
22,All,0.0,0.0,0.0
23,All,0.0,0.0,0.0
0,DNM,0.0,0.0,0.0
1,DNM,0.0,0.0,0.0
2,DNM,0.0,0.0,0.0
3,DNM,0.0,0.0,0.0
4,DNM,0.0,0.0,0.0
5,DNM,0.0,0.0,0.0
6,DNM,0.0,0.0,0.0
7,DNM,0.05555555555555555,0.0,0.2290614236454256
8,DNM,0.6666666666666666,0.0,0.816496580927726
9,DNM,1.0555555555555556,1.0,0.9702360664762767
10,DNM,1.0555555555555556,1.0,0.7797593804232335
11,DNM,0.7222222222222222,0.5,0.8031573497111644
12,DNM,0.1111111111111111,0.0,0.3142696805273545
13,DNM,0.0,0.0,0.0
14,DNM,0.1111111111111111,0.0,0.4581228472908512
15,DNM,0.2222222222222222,0.0,0.5328701692569688
16,DNM,0.16666666666666666,0.0,0.372677996249965
17,DNM,0.1111111111111111,0.0,0.31426968052735443
18,DNM,0.1111111111111111,0.0,0.31426968052735443
19,DNM,0.0,0.0,0.0
20,DNM,0.0,0.0,0.0
21,DNM,0.0,0.0,0.0
22,DNM,0.0,0.0,0.0
23,DNM,0.0,0.0,0.0
0,TST,0.0,0.0,0.0
1,TST,0.0,0.0,0.0
2,TST,0.0,0.0,0.0
3,TST,0.0,0.0,0.0
4,TST,0.0,0.0,0.0
5,TST,0.0,0.0,0.0
6,TST,0.0,0.0,0.0
7,TST,0.05555555555555555,0.0,0.2290614236454256
8,TST,0.7777777777777778,1.0,0.7856742013183862
9,TST,1.1111111111111112,1.0,1.4098419489388356
10,TST,1.1666666666666667,1.0,1.3437096247164249
11,TST,1.3333333333333333,1.0,1.5634719199411433
12,TST,0.2222222222222222,0.0,0.41573970964154905
13,TST,0.0,0.0,0.0
14,TST,0.7222222222222222,0.0,1.1928283640879938
15,TST,0.7222222222222222,0.0,1.0957268290731121
16,TST,0.5,0.0,1.0137937550497031
17,TST,0.16666666666666666,0.0,0.37267799624996495
18,TST,0.0,0.0,0.0
19,TST,0.0,0.0,0.0
20,TST,0.0,0.0,0.0
21,TST,0.0,0.0,0.0
22,TST,0.0,0.0,0.0
23,TST,0.0,0.0,0.0
0,WL,0.0,0.0,0.0
1,WL,0.0,0.0,0.0
2,WL,0.0,0.0,0.0
3,WL,0.0,0.0,0.0
4,WL,0.0,0.0,0.0
5,WL,0.0,0.0,0.0
6,WL,0.05555555555555555,0.0,0.2290614236454256
7,WL,0.05555555555555555,0.0,0.2290614236454256
8,WL,0.7222222222222222,1.0,0.7307192465536614
9,WL,0.8333333333333334,1.0,0.8333333333333334
10,WL,0.7222222222222222,1.0,0.7307192465536614
11,WL,1.2222222222222223,1.0,0.8534606386520677
12,WL,0.6111111111111112,0.5,0.6781419786518724
13,WL,0.1111111111111111,0.0,0.3142696805273545
14,WL,0.5555555555555556,0.0,0.8314794192830981
15,WL,0.8333333333333334,1.0,0.8975274678557507
16,WL,1.0,0.0,1.4142135623730951
17,WL,0.3888888888888889,0.0,0.5905636562630361
18,WL,0.05555555555555555,0.0,0.2290614236454256
19,WL,0.05555555555555555,0.0,0.2290614236454256
20,WL,0.0,0.0,0.0
21,WL,0.05555555555555555,0.0,0.2290614236454256
22,WL,0.0,0.0,0.0
23,WL,0.0,0.0,0.0
