Segment,Date,Hour,Count
All,1900-05-03,0,0
All,1900-05-03,1,0
All,1900-05-03,2,0
All,1900-05-03,3,0
All,1900-05-03,4,0
All,1900-05-03,5,0
All,1900-05-03,6,0
All,1900-05-03,7,1
All,1900-05-03,8,4
All,1900-05-03,9,5
All,1900-05-03,10,2
All,1900-05-03,11,1
All,1900-05-03,12,1
All,1900-05-03,13,0
All,1900-05-03,14,0
All,1900-05-03,15,0
All,1900-05-03,16,0
All,1900-05-03,17,1
All,1900-05-03,18,0
All,1900-05-03,19,0
All,1900-05-03,20,0
All,1900-05-03,21,0
All,1900-05-03,22,0
All,1900-05-03,23,0
All,1900-05-04,0,0
All,1900-05-04,1,0
All,1900-05-04,2,0
All,1900-05-04,3,0
All,1900-05-04,4,0
All,1900-05-04,5,0
All,1900-05-04,6,1
All,1900-05-04,7,1
All,1900-05-04,8,4
All,1900-05-04,9,6
All,1900-05-04,10,5
All,1900-05-04,11,8
All,1900-05-04,12,0
All,1900-05-04,13,0
All,1900-05-04,14,4
All,1900-05-04,15,5
All,1900-05-04,16,3
All,1900-05-04,17,2
All,1900-05-04,18,0
All,1900-05-04,19,0
All,1900-05-04,20,0
All,1900-05-04,21,0
All,1900-05-04,22,0
All,1900-05-04,23,0
All,1900-05-05,0,0
All,1900-05-05,1,0
All,1900-05-05,2,0
All,1900-05-05,3,0
All,1900-05-05,4,0
All,1900-05-05,5,0
All,1900-05-05,6,0
All,1900-05-05,7,0
All,1900-05-05,8,2
All,1900-05-05,9,3
All,1900-05-05,10,3
All,1900-05-05,11,4
All,1900-05-05,12,3
All,1900-05-05,13,0
All,1900-05-05,14,0
All,1900-05-05,15,2
All,1900-05-05,16,5
All,1900-05-05,17,0
All,1900-05-05,18,0
All,1900-05-05,19,0
All,1900-05-05,20,0
All,1900-05-05,21,0
All,1900-05-05,22,0
All,1900-05-05,23,0
All,1900-05-06,0,0
All,1900-05-06,1,0
All,1900-05-06,2,0
All,1900-05-06,3,0
All,1900-05-06,4,0
All,1900-05-06,5,0
All,1900-05-06,6,0
All,1900-05-06,7,1
All,1900-05-06,8,1
All,1900-05-06,9,1
All,1900-05-06,10,1
All,1900-05-06,11,2
All,1900-05-06,12,1
All,1900-05-06,13,0
All,1900-05-06,14,4
All,1900-05-06,15,7
All,1900-05-06,16,5
All,1900-05-06,17,2
All,1900-05-06,18,0
All,1900-05-06,19,0
All,1900-05-06,20,0
All,1900-05-06,21,0
All,1900-05-06,22,0
All,1900-05-06,23,0
All,1900-05-07,0,0
All,1900-05-07,1,0
All,1900-05-07,2,0
All,1900-05-07,3,0
All,1900-05-07,4,0
All,1900-05-07,5,0
All,1900-05-07,6,0
All,1900-05-07,7,0
All,1900-05-07,8,1
All,1900-05-07,9,1
All,1900-05-07,10,4
All,1900-05-07,11,3
All,1900-05-07,12,1
All,1900-05-07,13,0
All,1900-05-07,14,3
All,1900-05-07,15,4
All,1900-05-07,16,3
All,1900-05-07,17,1
All,1900-05-07,18,0
All,1900-05-07,19,0
All,1900-05-07,20,0
All,1900-05-07,21,0
All,1900-05-07,22,0
All,1900-05-07,23,0
All,1900-05-08,0,0
All,1900-05-08,1,0
All,1900-05-08,2,0
All,1900-05-08,3,0
All,1900-05-08,4,0
All,1900-05-08,5,0
All,1900-05-08,6,0
All,1900-05-08,7,0
All,1900-05-08,8,3
All,1900-05-08,9,4
All,1900-05-08,10,3
All,1900-05-08,11,2
All,1900-05-08,12,1
All,1900-05-08,13,0
All,1900-05-08,14,2
All,1900-05-08,15,3
All,1900-05-08,16,2
All,1900-05-08,17,1
All,1900-05-08,18,1
All,1900-05-08,19,0
All,1900-05-08,20,0
All,1900-05-08,21,0
All,1900-05-08,22,0
All,1900-05-08,23,0
All,1900-05-09,0,0
All,1900-05-09,1,0
All,1900-05-09,2,0
All,1900-05-09,3,0
All,1900-05-09,4,0
All,1900-05-09,5,0
All,1900-05-09,6,0
All,1900-05-09,7,0
All,1900-05-09,8,2
All,1900-05-09,9,2
All,1900-05-09,10,4
All,1900-05-09,11,4
All,1900-05-09,12,0
All,1900-05-09,13,1
All,1900-05-09,14,1
All,1900-05-09,15,0
All,1900-05-09,16,0
All,1900-05-09,17,0
All,1900-05-09,18,0
All,1900-05-09,19,0
All,1900-05-09,20,0
All,1900-05-09,21,0
All,1900-05-09,22,0
All,1900-05-09,23,0
All,1900-05-10,0,0
All,1900-05-10,1,0
All,1900-05-10,2,0
All,1900-05-10,3,0
All,1900-05-10,4,0
All,1900-05-10,5,0
All,1900-05-10,6,0
All,1900-05-10,7,0
All,1900-05-10,8,1
All,1900-05-10,9,1
All,1900-05-10,10,0
All,1900-05-10,11,3
All,1900-05-10,12,1
All,1900-05-10,13,0
All,1900-05-10,14,0
All,1900-05-10,15,0
All,1900-05-10,16,0
All,1900-05-10,17,0
All,1900-05-10,18,0
All,1900-05-10,19,0
All,1900-05-10,20,0
All,1900-05-10,21,0
All,1900-05-10,22,0
All,1900-05-10,23,0
All,1900-05-11,0,0
All,1900-05-11,1,0
All,1900-05-11,2,0
All,1900-05-11,3,0
All,1900-05-11,4,0
All,1900-05-11,5,0
All,1900-05-11,6,0
All,1900-05-11,7,0
All,1900-05-11,8,6
All,1900-05-11,9,8
All,1900-05-11,10,8
All,1900-05-11,11,9
All,1900-05-11,12,0
All,1900-05-11,13,0
All,1900-05-11,14,4
All,1900-05-11,15,2
All,1900-05-11,16,4
All,1900-05-11,17,0
All,1900-05-11,18,0
All,1900-05-11,19,0
All,1900-05-11,20,0
All,1900-05-11,21,0
All,1900-05-11,22,0
All,1900-05-11,23,0
All,1900-05-12,0,0
All,1900-05-12,1,0
All,1900-05-12,2,0
All,1900-05-12,3,0
All,1900-05-12,4,0
All,1900-05-12,5,0
All,1900-05-12,6,0
All,1900-05-12,7,0
All,1900-05-12,8,1
All,1900-05-12,9,4
All,1900-05-12,10,4
All,1900-05-12,11,2
All,1900-05-12,12,1
All,1900-05-12,13,0
All,1900-05-12,14,0
All,1900-05-12,15,0
All,1900-05-12,16,0
All,1900-05-12,17,0
All,1900-05-12,18,0
All,1900-05-12,19,0
All,1900-05-12,20,0
All,1900-05-12,21,0
All,1900-05-12,22,0
All,1900-05-12,23,0
All,1900-05-13,0,0
All,1900-05-13,1,0
All,1900-05-13,2,0
All,1900-05-13,3,0
All,1900-05-13,4,0
All,1900-05-13,5,0
All,1900-05-13,6,0
All,1900-05-13,7,0
All,1900-05-13,8,2
All,1900-05-13,9,2
All,1900-05-13,10,1
All,1900-05-13,11,1
All,1900-05-13,12,0
All,1900-05-13,13,0
All,1900-05-13,14,0
All,1900-05-13,15,1
All,1900-05-13,16,0
All,1900-05-13,17,0
