Plate,Seg,Date,Entry,ToolWaiting,Exit
"""000155 223""",WL,5/3/2024,08:48,,10:19
"""000156 223""",WL,5/3/2024,09:41,,10:10
"""00004 516""",DNM,5/3/2024,07:51,01:59:00,09:55
"""00015 219""",TST,5/3/2024,08:10,,09:14
"""000012 517""",TST,5/4/2024,08:36,,11:57
"""00049 519""",TST,5/4/2024,10:28,00:32:27,11:53
"""000018 522""",TST,5/4/2024,11:05,,11:43
"""000609 518""",TST,5/4/2024,11:16,,11:47
"""00039 516""",TST,5/5/2024,08:23,,13:00
"""000562 518""",TST,5/6/2024,14:42,,16:46
"""000016 524""",DNM,5/8/2024,08:00,,18:11
"""00039 519""",TST,5/10/2024,08:39,,08:39
"""00228 518""",TST,5/10/2024,10:55,,11:33
"""00045 519""",TST,5/10/2024,11:04,,11:16
"""00226 518""",TST,5/10/2024,11:14,,11:28
"""000018 522""",TST,5/16/2024,09:17,,10:32
"""00039 519""",DNM,5/17/2024,10:00,00:27:00,12:03
"""00110 216""",TST,5/19/2024,14:35,,15:21
"""000344 516""",WL,5/19/2024,15:18,00:19:00,15:50
"""000016 524""",DNM,5/20/2024,08:35,00:17:00,10:02
"""00021 518""",DNM,5/20/2024,08:46,,09:06
"""000014 522""",WL,5/20/2024,10:48,00:01:00,11:43
"""00048 519""",WL,5/20/2024,11:25,00:10:00,12:20
"""000017 522""",TST,5/21/2024,17:56,,18:47
"""00007 217""",DNM,5/22/2024,10:38,,11:28
"""00021 518""",DNM,5/22/2024,10:55,,12:54
"""000562 518""",DNM,5/22/2024,11:20,,11:41
"""00041 519""",TST,5/23/2024,08:19,00:06:00,08:58
"""000016 524""",DNM,5/23/2024,08:18,,09:03
"""000016 524""",DNM,5/23/2024,09:03,,10:48
"""00048 519""",WL,5/23/2024,09:12,,09:36
"""00048 519""",WL,5/23/2024,09:36,,09:52
"""00041 519""",TST,5/16/2024,14:54,,16:47
"""000230""",TST,5/17/2024,09:28,,10:38
"""00039 519",DNM,5/17/2024,10:00,,12:03
"""000016 524""",DNM,5/18/2024,10:58,,11:21
"""00052 514""",WL,5/18/2024,11:45,01:08:00,13:15
"""00004 516""",TST,5/19/2024,09:23,,10:54
"""00004 516""",TST,5/19/2024,,,
"""000226 518""",TST,5/19/2024,09:54,,10:35
"""000016 524""",DNM,5/19/2024,10:23,00:03:00,11:09
"""00044 519""",WL,5/19/2024,11:14,00:13:00,11:42
"""00436 512""",WL,5/19/2024,11:25,,12:14
"""000020 524""",WL,5/20/2024,16:53,,17:56
"""00074 512""",WL,5/20/2024,16:33,,17:41
"""000018 522""",TST,5/22/2024,08:15,00:52:00,11:18
"""000344""",WL,5/22/2024,09:03,,09:24
"""00050""",WL,5/22/2024,09:10,,09:40
"""000562""",DNM,5/22/2024,10:12,,10:45
"""00044""",WL,5/22/2024,16:05,,16:25
"""000014 522""",WL,5/25/2024,08:37,,09:18
"""000344 514""",WL,5/25/2024,08:56,,09:57
"""00240 516""",TST,5/25/2024,08:55,,10:08
"""00039 519""",DNM,5/25/2024,09:10,00:12:00,10:46
"""00045 519""",TST,5/25/2024,09:37,,09:58
"""00240 516""",TST,5/25/2024,10:12,,10:36
"""00021 518""",DNM,5/25/2024,14:37,,15:57
"""000344""",WL,5/25/2024,14:37,,17:05
